Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
PAWZ,1557,36,54.50,200,42.81,50.48,1557,0
OILK,1541,600,43.15,600,42.79,43.05,1541,0
HYMU,1531,2,27.58,0,0.00,21.84,1531,0
ARKD,1516,0,0.00,1,28.50,30.88,1516,0
BRLN,1514,0,0.00,1,49.70,52.98,1414,100
DFNL,1480,0,0.00,0,0.00,29.57,1480,0
OSCV,1478,5,35.00,0,0.00,33.01,1379,99
TILT,1476,0,0.00,0,0.00,182.33,1476,0
BMAY,1474,0,0.00,0,0.00,34.29,1474,0
IAUF,1466,5,53.41,0,0.00,53.40,1466,0
DECZ,1450,0,0.00,0,0.00,32.26,1450,0
MYLD,1436,0,0.00,25,24.18,24.88,1436,0
DURA,1416,0,0.00,0,0.00,30.94,1416,0
GAA,1413,24,30.59,1,23.62,27.57,1413,0
FMAY,1390,0,0.00,0,0.00,41.80,1390,0
PSFD,1373,0,0.00,0,0.00,29.19,1373,0
XDEC,1368,0,0.00,0,0.00,34.41,1368,0
QLC,1367,0,0.00,2,52.00,53.86,1367,0
VFMO,1340,0,0.00,2,131.84,133.00,1339,1
STOT,1327,1,52.50,0,0.00,46.93,1227,100
DOGG,1312,0,0.00,1,20.24,21.25,1312,0
NULC,1278,0,0.00,0,0.00,39.56,1278,0
DALT,1261,0,0.00,0,0.00,8.51,1261,0
RSBT,1251,0,0.00,0,0.00,16.81,1251,0
IBMM,1235,0,0.00,0,0.00,25.94,1235,0
NURE,1231,2,32.87,0,0.00,30.41,1231,0
BLKC,1214,2,20.13,0,0.00,16.37,1214,0
QVOY,1197,0,0.00,0,0.00,27.04,1197,0
FDEM,1195,0,0.00,0,0.00,23.31,1195,0
BDEC,1186,0,0.00,0,0.00,38.74,1186,0
IDUB,1172,0,0.00,0,0.00,19.63,1172,0
GHYG,1170,0,0.00,264,43.66,43.90,970,200
MBCC,1164,0,0.00,0,0.00,29.75,1164,0
BUFG,1153,0,0.00,0,0.00,21.50,1153,0
XDQQ,1153,0,0.00,0,0.00,27.08,1053,100
ZECP,1145,0,0.00,0,0.00,26.35,1045,100
ZALT,1136,0,0.00,0,0.00,26.76,1136,0
BOCT,1125,0,0.00,0,0.00,38.88,1125,0
UDEC,1125,0,0.00,0,0.00,32.28,1125,0
HEEM,1123,0,0.00,0,0.00,23.76,1123,0
GOCT,1116,0,0.00,0,0.00,32.59,1116,0
TDVI,1110,0,0.00,0,0.00,21.69,1110,0
QTAP,1100,0,0.00,0,0.00,32.17,400,700
PAPR,1099,0,0.00,0,0.00,32.93,1099,0
TAIL,1089,25,13.47,12,12.33,12.55,1089,0
MEAR,1077,0,0.00,0,0.00,50.03,1077,0
CSM,1067,0,0.00,0,0.00,55.47,1067,0
TMFG,1062,0,0.00,0,0.00,27.72,1062,0
DFEB,1059,0,0.00,0,0.00,37.79,1059,0
YDEC,1050,0,0.00,0,0.00,22.44,1050,0
FNOV,1048,0,0.00,0,0.00,42.94,1048,0
DUSA,1038,0,0.00,0,0.00,35.67,1038,0
YJUN,1036,1,23.22,0,0.00,20.87,1036,0
SMAY,1033,0,0.00,0,0.00,21.62,1033,0
GDMN,1031,0,0.00,200,19.44,21.22,1031,0
EFNL,1019,24,48.95,0,0.00,34.60,1019,0
APRH,1018,1000,26.10,9,24.42,24.75,1018,0
RVRB,1018,0,0.00,0,0.00,25.15,1018,0
PBTP,1000,2,27.02,0,0.00,24.91,860,140
VEGN,998,9,45.95,7,40.11,44.08,998,0
POCT,992,0,0.00,100,34.35,36.44,992,0
GSEP,965,0,0.00,0,0.00,31.94,965,0
GVAL,961,2,23.06,0,0.00,20.45,961,0
QUVU,960,0,0.00,0,0.00,22.82,960,0
IBMO,953,0,0.00,0,0.00,25.36,953,0
IBHG,922,1,25.69,200,22.16,22.21,922,0
ISVL,910,0,0.00,1,30.70,32.69,615,295
HSRT,905,0,0.00,0,0.00,38.97,900,5
GLDB,901,1,20.75,0,0.00,20.10,901,0
GFEB,896,0,0.00,0,0.00,33.27,896,0
AESR,893,95,18.00,0,0.00,14.16,892,1
BUYZ,867,0,0.00,0,0.00,29.35,867,0
KWT,863,1,35.56,0,0.00,32.76,863,0
FCTR,850,1,31.78,0,0.00,27.57,850,0
EAOM,829,2,27.46,0,0.00,25.98,829,0
OCTJ,821,0,0.00,0,0.00,24.20,821,0
WLDR,796,0,0.00,0,0.00,27.49,796,0
LQDW,791,2000,31.00,10,29.38,29.58,791,0
NFLP,779,0,0.00,0,0.00,27.48,779,0
QTJA,772,0,0.00,0,0.00,21.64,472,300
GOOP,768,0,0.00,100,26.00,28.02,768,0
TMAT,764,0,0.00,0,0.00,15.37,764,0
GOOX,761,100,26.51,100,26.38,26.29,761,0
SAUG,754,0,0.00,0,0.00,20.79,754,0
MSFY,751,1,27.35,1,27.00,27.31,751,0
UFEB,743,0,0.00,0,0.00,29.61,743,0
BALI,742,0,0.00,9,26.40,27.13,742,0
XEMD,731,0,0.00,0,0.00,40.39,731,0
SHAG,724,0,0.00,0,0.00,47.28,724,0
DAPR,720,1,35.20,0,0.00,32.63,720,0
GLOV,715,1,45.70,0,0.00,44.22,715,0
ARKY,707,0,0.00,25,25.00,29.82,707,0
QCON,690,0,0.00,0,0.00,41.53,690,0
IBHH,687,0,0.00,100,23.07,23.21,652,35
JANH,683,0,0.00,0,0.00,24.81,683,0
HCRB,680,0,0.00,0,0.00,34.71,680,0
YPS,661,0,0.00,0,0.00,22.05,661,0
FPFD,660,0,0.00,0,0.00,20.93,660,0
KJUL,655,0,0.00,0,0.00,26.53,655,0
XJH,640,0,0.00,0,0.00,37.18,640,0
LEAD,634,0,0.00,0,0.00,61.28,634,0
TYA,631,22500,14.22,14,11.44,13.66,631,0
XIDE,620,0,0.00,0,0.00,30.37,620,0
HOCT,603,0,0.00,0,0.00,24.25,603,0
OBND,601,0,0.00,0,0.00,25.89,601,0
FJUL,592,0,0.00,0,0.00,42.13,592,0
DSCF,590,8,25.25,10,18.81,21.98,590,0
FDEV,589,0,0.00,0,0.00,26.43,589,0
RSSB,583,0,0.00,0,0.00,20.81,583,0
XVV,582,0,0.00,0,0.00,37.13,582,0
UAPR,574,0,0.00,0,0.00,27.65,574,0
WEED,560,3,48.00,5,19.00,36.08,560,0
GHTA,558,0,0.00,0,0.00,26.78,558,0
BUFZ,557,0,0.00,0,0.00,21.58,557,0
EAOR,553,0,0.00,0,0.00,28.86,553,0
XBOC,552,0,0.00,0,0.00,28.01,552,0
PTEU,550,0,0.00,0,0.00,24.27,550,0
HYIN,546,1,19.42,2,17.50,19.41,546,0
FAUG,542,0,0.00,0,0.00,41.08,542,0
SNAV,542,0,0.00,0,0.00,27.14,542,0
TTAC,538,0,0.00,0,0.00,57.57,538,0
GMOM,523,0,0.00,0,0.00,27.04,523,0
ADME,510,0,0.00,0,0.00,39.05,510,0
VFMF,502,1,125.00,51,96.45,116.92,502,0
GMAR,493,0,0.00,0,0.00,33.61,493,0
IBMQ,491,0,0.00,0,0.00,25.33,491,0
XDAT,483,0,0.00,0,0.00,22.53,483,0
KOCT,481,0,0.00,0,0.00,27.12,252,229
TSLP,480,7,27.75,0,0.00,24.60,479,1
KRUZ,474,0,0.00,1,25.00,27.44,474,0
FFOG,464,0,0.00,0,0.00,30.07,464,0
BAMV,462,0,0.00,0,0.00,27.91,462,0
ROMO,462,0,0.00,0,0.00,26.61,462,0
FSMO,457,0,0.00,0,0.00,23.27,359,98
FJUN,455,0,0.00,0,0.00,44.65,455,0
MOTG,454,1,38.03,0,0.00,34.62,454,0
AAPY,448,0,0.00,1,26.20,26.68,448,0
